Galaxy,re,vLEDA,err_vLEDA,v,err_v,sigma_re/8,err_sigma,sigma_corr,sigma_LEDA,err_sigma_LEDA
IC 1438,11.5,2616,5,2618,2,101,2,99,,
NGC 613,51.6,1484,3,1506,2,125,3,128,122.0,18.0
NGC 1097,58.8,1269,7,1274,2,196,3,198,,
NGC 1291,60.7,837,8,858,6,168,7,166,165.0,10.0
NGC 1300,71.9,1578,2,1579,5,100,8,102,218.0,29.0
NGC 1365,67.2,1638,4,1633,7,157,10,160,141.0,19.0
NGC 1433,67.5,1076,2,1086,4,95,13,94,,
NGC 3351,64.5,778,1,791,4,98,8,98,116.0,10.0
NGC 4303,56.0,1567,2,1577,3,79,8,79,95.0,8.0
NGC 4371,33.5,913,4,972,8,132,12,131,129.0,2.0
NGC 4643,24.2,1328,2,1341,2,133,3,131,147.0,3.0
NGC 4981,29.9,1678,2,1688,2,95,3,95,,
NGC 4984,18.1,1215,10,1271,2,113,3,109,,
NGC 5236,145.9,508,2,527,2,75,6,75,,
NGC 5248,45.7,1152,2,1168,4,91,7,90,99.0,9.0
NGC 5728,28.8,2788,4,2773,5,160,7,161,197.0,14.0
NGC 5850,49.4,2546,3,2558,2,123,3,128,140.0,4.0
NGC 6902,24.0,2793,4,2799,2,119,2,120,,
NGC 7140,38.1,2978,4,2982,2,98,3,100,,
NGC 7552,12.2,1609,5,1612,3,84,6,81,98.0,19.0
NGC 7755,32.2,2960,3,2952,2,114,3,116,,
